ID	Title	Type de document	Dernière modification	Cote	Datum	Auteur	Destinataire	Résumé
2787		Brief	2022-10-25 13:55:53	C06/S43/090	1816-05-08	Salm, Constance de	Prous, Henry	Verhindertes Zusammentreffen mit Louise. Sympathie für Louise. Verständnis der CdS, dass die Gesellschaft einer Frau ihres Alters für eine junge Frau langweilig sein kann. Reise der Louise nach Köln. Möglichkeit, dass sie dort einen Mann finden könnte. Gewöhnung ans Alleinsein. CdS langweilt sich nicht mehr. Kommentare zum Männergeschmack der Frauen ihrer Gesellschaft. Besuche und Nachrichten von Nachbaren.
2788		Brief	2022-10-25 14:01:31	CdS/02_2/045-046	1816-05-17	Salm, Constance de	Prous, Henry	Fragen der CdS über Prous’ Befinden, den Besuch von Louise, Nachrichten von Krefeld für Dyck (?), nach von CdS bestellter Pappe/Karton, den Zustand von Frankreich. Briefe aus Frankreich an die CdS liefern keine gute Nachrichten über die dortige Stimmung („on a beau dire et beau parler, sans un goût de liberté et une propriété assurée les hommes seront toujours prêts à se révolter”). Nachrichten aus der Zeitung : witzige Werbeschilder von Hoflieferanten aus der napoleonischen Zeit (CdS zitiert die „reine Hortense de Naples”, irrtümliche Bezeichnung).
2789		Brief	2022-10-27 12:28:34	C06/S43/093-094	1816-05-20	Salm, Constance de	Prous, Henry	Empfang von Karton [Anzeige?] aus Paris. Gedankenaustausch über die Eheschließung als solche, und der Unterschied der Haltung, wenn man 20 ist und über 40. Große Sehnsucht der CdS nach ihrem Mann, der noch in Berlin verweilen muss. Gestrige Gesellschaft der CdS. Wohlbefinden und Amüsements der Louise Kopp. Hoffnung auf eine Besserung der Lage in Frankreich. Zukunftsperspektiven des P. und Ermutigung der CdS. Entspannung durch Schreiben des Briefs nach einem arbeitsamen Tag.
2790		Brief	2022-10-19 09:00:30	C06/S43/095	1816-05-26	Salm, Constance de	Prous, Henry	Brief der CdS an SRD und eventuell zu spät kommende Bitte. Reise Hardenbergs. Besuch der CdS und Einladung des P.
2791		Brief	2022-10-19 09:00:30	C06/S43/096-097	1816-05-27	Salm, Constance de	Prous, Henry	Bitte des P. bezüglich des M. Kopp. Nicht möglich, einen Brief an SRD zu schicken. Dessen baldige Abreise aus Berlin. Die für diese Angelegenheit wichtigen Personen sind bereits abgereist. Baldige Abendgesellschaft der CdS, Teilnahme des P. und seiner Familie. Melancholie des P. und der CdS. Abhängigkeit des Gemütszustands der CdS vom Wetter als Nachteil des Landlebens. Ermutigende Zeitungsberichte. P. soll seine Ambitionen kultivieren. Gesellschaftliches Vergnügen des P. und Bitte, CdS nicht zu vergessen.
2792		Brief	2022-10-25 14:01:45	C06/S43/109	1816-06-07	Salm, Constance de	Prous, Henry	Einladung der CdS an Prous. Krankheit des P. Einfluss der Einsamkeit und des Winters auf das Gemüt und die Gesundheit allgemein. Melancholische Anfälle der CdS, wohltuender Besuch des Hompesch, Sehnsucht nach der Rückkehr ihres Ehemannes. Versand von Zeitungen, in einer Zeitung steht die Hochzeit der Nichte von P. Missmut der CdS über die Darstellung des politischen Umfelds des Königs von Frankreich, ihrer Meinung nach recht theatralisch. Zeitvertreib mit Louise Kopp. Heimweh. Baldige Heimkehr des SRD, CdS hat Verse über diese Rückkehr geschrieben.
2793		Brief	2022-10-19 09:00:30		1816-06-10	Salm, Constance de	Prous, Henry	Bitte der CdS, dass Prous zur Abendgesellschaft auf Schloss Dyck kommt.
2794		Brief	2022-10-27 12:40:43	C06/S43/107-108	1816-06-11	Salm, Constance de	Prous, Henry	CdS schickt Prous Erdbeeren. SRD will den König von Bayern [=Maximilian I.] in Baden[-Baden] sehen. CdS erwartet ihn für den 20. oder den 21. Juni und vermisst ihn, vertraut ihm. Sorgen wegen der Lage im Rheinland und Verhältnis zu den Truppen und Offizieren, sowie um Beginn eines neuen Krieges („j’ai de la guerre assés“).
2795		Brief	2022-10-25 14:01:31	C06/S43/104-105	1816-06-20	Salm, Constance de	Prous, Henry	Besuch der Familie Locquenghien und Einladung der Louise Kopp. Pläne der CdS und Rückkehr des SRD. Eine Frau aus dem Haushalt der CdS liegt im Sterben. Beruhigung der Lage in Frankreich.
2796		Brief	2022-10-19 09:00:30		1816-06-23	Salm, Constance de	Prous, Henry	P. soll diesen Brief Louise Kopp vorlesen. Verhinderte Reise der CdS nach Köln. Im Sterben liegende Frau aus dem Haushalt der CdS. Anspielung auf Verrücktheit der letzten Tage.
2797		Brief	2022-10-19 09:00:30	C06/S43/128	1816-08-10	Salm, Constance de	Prous, Henry	Zurücksendung von Tüchern an P. Verhindertes Zusammentreffen und Hoffnung auf ein baldiges Wiedersehen. Gesundheitszustand des P. und Behandlung mit Blutegeln. Einladung an Prous.
2798		Brief	2022-10-19 09:00:30	C06/S43/130	1816-08-19	Salm, Constance de	Prous, Henry	Nachfrage der CdS, ob P. oder seine Familie zu Besuch kommen.
2799		Brief	2022-10-19 09:00:30	C06/S43/129	1816-08-13	Salm, Constance de	Prous, Henry	Besuch des Prinzen Salm-Krautheim. Einladung des P. und der M. Van de Lain.
2800		Brief	2022-10-19 09:00:30	C06/S43/131-132	1816-08-29	Salm, Constance de	Prous, Henry	P. als Aufpasser von zwei jungen Fräulein. Zusendung eines Werks von Petronius, das für junge Damen nicht geeignet ist. Ankunft einer Bücherlieferung. Schweigen des P. bezüglich eines möglichen Krieges und unterschiedliche Meinung der CdS. Überzeugung der CdS, dass man etwas für den „Major“ tun müsse. Freude über die Niederkunft von Bella. Einladung zu einem Mittagessen am 4.
2801		Brief	2022-10-19 09:00:30	CdS/02_2/073	1816-09-00	Salm, Constance de	Prous, Henry	Einladung der CdS an Prous, da der Graf von Hompesch für zwei Tage in Dyck zu Besuch ist.
2802		Brief	2022-10-19 09:00:30	CdS/02_2/067	1816-09-15	Salm, Constance de	Prous, Henry	Einladung an Prous und seine Angehörigen. Zurzeit ist Kirchweih. CdS braucht Sachen [oder Informationen?] aus Krefeld [unklar].
